file,QC_status,num_seqs,sum_len,min_len,avg_len,max_len,Scheme,MLST,allele1,allele2,allele3,allele4,allele5,allele6,allele7,K_Locus,O_Locus,Poppunk,Location
SAMN09242537,PASS,99,"5,103,986",202,"51,555.40","444,445",vparahaemolyticus,36,dnaE(21),gyrB(15),recA(1),dtdS(23),pntA(23),pyrC(21),tnaA(16),KL12,OL4,2,USA
SAMN08902770,PASS,80,"5,193,124",204,"64,914.10","597,813",vparahaemolyticus,36,dnaE(21),gyrB(15),recA(1),dtdS(23),pntA(23),pyrC(21),tnaA(16),KL12,OL4,2,USA
SAMN09074639,PASS,77,"5,080,757",202,"65,983.90","552,196",vparahaemolyticus,36,dnaE(21),gyrB(15),recA(1),dtdS(23),pntA(23),pyrC(21),tnaA(16),KL12,OL4,2,USA
SAMN08902768,PASS,72,"5,194,381",202,"72,144.20","724,894",vparahaemolyticus,36,dnaE(21),gyrB(15),recA(1),dtdS(23),pntA(23),pyrC(21),tnaA(16),KL12,OL4,2,USA
SAMN09242530,PASS,64,"5,114,599",212,"79,915.60","907,619",vparahaemolyticus,36,dnaE(21),gyrB(15),recA(1),dtdS(23),pntA(23),pyrC(21),tnaA(16),KL12,OL4,2,USA
SAMN08902764,PASS,61,"5,086,521",202,"83,385.60","719,270",vparahaemolyticus,36,dnaE(21),gyrB(15),recA(1),dtdS(23),pntA(23),pyrC(21),tnaA(16),KL12,OL4,2,USA
SAMN27646148,PASS,148,"5,146,408",200,"34,773","877,910",vparahaemolyticus,43,dnaE(23),gyrB(29),recA(10),dtdS(7),pntA(14),pyrC(24),tnaA(2),KL63,OL4,5,USA
SAMN09242499,PASS,136,"5,083,350",204,"37,377.60","452,846",vparahaemolyticus,43,dnaE(23),gyrB(29),recA(10),dtdS(7),pntA(14),pyrC(24),tnaA(2),KL56,OL1-1,5,USA
SAMN09074607,PASS,131,"5,075,805",204,"38,746.60","390,785",vparahaemolyticus,43,dnaE(23),gyrB(29),recA(10),dtdS(7),pntA(14),pyrC(24),tnaA(2),KL56,OL1-1,5,USA
SAMN13207727,PASS,129,"5,144,696",206,"39,881.40","549,819",vparahaemolyticus,43,dnaE(23),gyrB(29),recA(10),dtdS(7),pntA(14),pyrC(24),tnaA(2),KL56,OL1-1,5,USA
SAMN08965129,PASS,117,"5,137,344",204,"43,908.90","452,732",vparahaemolyticus,43,dnaE(23),gyrB(29),recA(10),dtdS(7),pntA(14),pyrC(24),tnaA(2),KL56,OL1-1,5,USA
SAMN08469555,PASS,100,"5,257,094",204,"52,570.90","453,108",vparahaemolyticus,43,dnaE(23),gyrB(29),recA(10),dtdS(7),pntA(14),pyrC(24),tnaA(2),KL56,OL1-1,5,USA
SAMN08469548,PASS,97,"5,090,528",204,"52,479.70","453,108",vparahaemolyticus,43,dnaE(23),gyrB(29),recA(10),dtdS(7),pntA(14),pyrC(24),tnaA(2),KL56,OL1-1,5,USA
SAMN08469471,PASS,97,"5,090,821",204,"52,482.70","453,126",vparahaemolyticus,43,dnaE(23),gyrB(29),recA(10),dtdS(7),pntA(14),pyrC(24),tnaA(2),KL56,OL1-1,5,USA
SAMN08469546,PASS,95,"5,091,357",222,"53,593.20","459,270",vparahaemolyticus,43,dnaE(23),gyrB(29),recA(10),dtdS(7),pntA(14),pyrC(24),tnaA(2),KL56,OL1-1,5,USA
SAMN20849623,PASS,58,"5,000,390",203,"86,213.60","1,200,968",vparahaemolyticus,49,dnaE(28),gyrB(17),recA(21),dtdS(30),pntA(20),pyrC(23),tnaA(24),KL115,OL3_or_OL13,51,USA:NJ
SAMN27646125,PASS,101,"5,169,809",207,"51,186.20","1,794,343",vparahaemolyticus,50,dnaE(29),gyrB(5),recA(22),dtdS(12),pntA(20),pyrC(22),tnaA(25),KL18,OL6,25,USA
SAMN03941067,PASS,84,"5,157,699",207,"61,401.20","566,804",vparahaemolyticus,50,dnaE(29),gyrB(5),recA(22),dtdS(12),pntA(20),pyrC(22),tnaA(25),KL18,OL6,25,USA
SAMN06076959,PASS,80,"5,155,419",204,"64,442.70","672,105",vparahaemolyticus,50,dnaE(29),gyrB(5),recA(22),dtdS(12),pntA(20),pyrC(22),tnaA(25),KL18,OL6,25,USA
SAMN08965191,PASS,134,"4,983,931",205,"37,193.50","313,318",vparahaemolyticus,61,dnaE(37),gyrB(14),recA(14),dtdS(9),pntA(14),pyrC(34),tnaA(26),KLUT4-1,OL5,34,USA
SAMN13809955,PASS,129,"5,044,572",204,"39,105.20","521,183",vparahaemolyticus,61,dnaE(37),gyrB(14),recA(14),dtdS(9),pntA(14),pyrC(34),tnaA(26),KLUT4-1,OL5,34,USA
SAMN13283478,PASS,124,"5,002,107",204,"40,339.60","817,257",vparahaemolyticus,61,dnaE(37),gyrB(14),recA(14),dtdS(9),pntA(14),pyrC(34),tnaA(26),KLUT4-1,OL5,34,USA
SAMN13283488,PASS,114,"4,999,341",204,"43,853.90","808,397",vparahaemolyticus,61,dnaE(37),gyrB(14),recA(14),dtdS(9),pntA(14),pyrC(34),tnaA(26),KLUT4-1,OL5,34,USA
SAMN13283477,PASS,112,"4,998,698",204,"44,631.20","808,510",vparahaemolyticus,61,dnaE(37),gyrB(14),recA(14),dtdS(9),pntA(14),pyrC(34),tnaA(26),KLUT4-1,OL5,34,USA
SAMN13245813,PASS,107,"4,998,516",206,"46,715.10","734,112",vparahaemolyticus,61,dnaE(37),gyrB(14),recA(14),dtdS(9),pntA(14),pyrC(34),tnaA(26),KLUT4-1,OL5,34,USA
SAMN08469545,PASS,105,"4,951,445",220,"47,156.60","518,727",vparahaemolyticus,61,dnaE(37),gyrB(14),recA(14),dtdS(9),pntA(14),pyrC(34),tnaA(26),KLUT4-1,OL5,34,USA
SAMN13245769,PASS,101,"4,998,944",204,"49,494.50","738,923",vparahaemolyticus,61,dnaE(37),gyrB(14),recA(14),dtdS(9),pntA(14),pyrC(34),tnaA(26),KLUT4-1,OL5,34,USA
SAMN08965123,PASS,98,"4,962,264",205,"50,635.30","336,515",vparahaemolyticus,61,dnaE(37),gyrB(14),recA(14),dtdS(9),pntA(14),pyrC(34),tnaA(26),KLUT4-1,OL5,34,USA
SAMN08469478,PASS,94,"4,957,029",205,"52,734.40","319,462",vparahaemolyticus,61,dnaE(37),gyrB(14),recA(14),dtdS(9),pntA(14),pyrC(34),tnaA(26),KLUT4-1,OL5,34,USA
SAMN09295485,PASS,92,"4,964,148",205,"53,958.10","373,949",vparahaemolyticus,61,dnaE(37),gyrB(14),recA(14),dtdS(9),pntA(14),pyrC(34),tnaA(26),KLUT4-1,OL5,34,USA
