BioSample,Location,Isolation source,Isolate,Collection date,MLST,SNP cluster,tdh,trh,Toxigenic
SAMN16783379,"China:Guangdong, Shenzhen",stool sample,PDT000951543.1,2007,3,PDS000112564.72,87.37,.,yes
SAMN16783378,"China:Guangdong, Shenzhen",seafood,PDT000951546.1,2008,8,PDS000112531.1,87.37,.,yes
SAMN16783377,"China:Guangdong, Shenzhen",,PDT000951547.1,2012,3,PDS000112564.72,87.37,.,yes
SAMN16783375,"China:Guangdong, Shenzhen",,PDT000951549.1,2015,3,PDS000112564.72,87.37,.,yes
SAMN16783364,"China:Guangdong, Shenzhen",stool sample,PDT000951560.1,2012,332,PDS000080502.5,87.37,.,yes
SAMN16783363,"China:Guangdong, Shenzhen",anal swabs,PDT000952442.1,2008,478,PDS000080597.3,87.37,.,yes
SAMN16783362,"China:Guangdong, Shenzhen",stool sample,PDT000952443.1,2010,#N/A,PDS000112564.72,87.37,.,yes
SAMN16783360,"China:Guangdong, Shenzhen",,PDT000952446.1,2009,224,PDS000080603.2,87.37,.,yes
SAMN16783358,"China:Guangdong, Shenzhen",,PDT000952447.1,2017,3,PDS000112564.72,87.37,.,yes
SAMN16783356,"China:Guangdong, Shenzhen",,PDT000952450.1,2013,3,PDS000112564.72,87.37,.,yes
SAMN16783348,"China:Guangdong, Shenzhen",,PDT000952456.1,2015,3,PDS000112564.72,87.37,.,yes
SAMN16783349,"China:Guangdong, Shenzhen",,PDT000952457.1,2015,3,PDS000112564.72,87.37,.,yes
SAMN16783347,"China:Guangdong, Shenzhen",,PDT000952459.1,2015,3,PDS000112564.72,87.37,.,yes
SAMN16783345,"China:Guangdong, Shenzhen",,PDT000952460.1,2016,3,PDS000112564.72,87.37,.,yes
SAMN16783341,"China:Guangdong, Shenzhen",anal swabs,PDT000952461.1,2008,8,,87.37,.,yes
SAMN16783339,"China:Guangdong, Shenzhen",seafood,PDT000952466.1,2017,1844,PDS000020484.19,87.37,.,yes
SAMN16783338,"China:Guangdong, Shenzhen",anal swabs,PDT000952467.1,2017,3,PDS000080608.3,87.37,.,yes
SAMN16783336,"China:Guangdong, Shenzhen",anal swabs,PDT000952468.1,2017,2516,PDS000112534.14,87.37,.,yes
SAMN16783337,"China:Guangdong, Shenzhen",seawater,PDT000952469.1,2017,3,PDS000112564.72,87.37,.,yes
SAMN16783335,"China:Guangdong, Shenzhen",,PDT000952470.1,2017,3,PDS000112564.72,87.37,.,yes
SAMN16783334,"China:Guangdong, Shenzhen",,PDT000952471.1,2017,3,PDS000112564.72,87.37,.,yes
SAMN16783333,"China:Guangdong, Shenzhen",stool sample,PDT000952472.1,2009,494,PDS000112474.1,87.37,.,yes
SAMN16783332,"China:Guangdong, Shenzhen",,PDT000952473.1,2017,2516,PDS000112534.14,87.37,.,yes
SAMN16783329,"China:Guangdong, Shenzhen",,PDT000952474.1,2017,2516,PDS000112534.14,87.37,.,yes
SAMN16783331,"China:Guangdong, Shenzhen",,PDT000952475.1,2017,2516,PDS000112534.14,87.37,.,yes
SAMN16783330,"China:Guangdong, Shenzhen",,PDT000952476.1,2017,1844,PDS000020484.19,87.37,.,yes
SAMN16783325,"China:Guangdong, Shenzhen",,PDT000952479.1,2017,2516,PDS000112534.14,87.37,.,yes
SAMN16783326,"China:Guangdong, Shenzhen",,PDT000952480.1,2017,2516,PDS000112534.14,87.37,.,yes
SAMN16783324,"China:Guangdong, Shenzhen",,PDT000952481.1,2017,2516,PDS000112534.14,87.37,.,yes
SAMN16783322,"China:Guangdong, Shenzhen",stool sample,PDT000952483.1,2017,189,PDS000046713.6,87.37,.,yes
SAMN16783319,"China:Guangdong, Shenzhen",,PDT000952484.1,2016,332,PDS000020484.19,87.37,.,yes
SAMN16783320,"China:Guangdong, Shenzhen",,PDT000952485.1,2016,1844,PDS000020484.19,87.37,.,yes
SAMN16783321,"China:Guangdong, Shenzhen",,PDT000952486.1,2016,332,PDS000020484.19,87.37,.,yes
SAMN16783317,"China:Guangdong, Shenzhen",,PDT000952487.1,2016,2516,PDS000112534.14,87.37,.,yes
SAMN16783318,"China:Guangdong, Shenzhen",,PDT000952488.1,2016,2516,PDS000112534.14,87.37,.,yes
SAMN16783316,"China:Guangdong, Shenzhen",,PDT000952490.1,2016,2516,PDS000112534.14,87.37,.,yes
SAMN16783314,"China:Guangdong, Shenzhen",,PDT000952491.1,2016,2516,PDS000112534.14,87.37,.,yes
SAMN16783313,"China:Guangdong, Shenzhen",,PDT000952492.1,2016,332,PDS000020484.19,87.37,.,yes
SAMN16783311,"China:Guangdong, Shenzhen",,PDT000952494.1,2016,2516,PDS000112534.14,87.37,.,yes
SAMN16783312,"China:Guangdong, Shenzhen",,PDT000952495.1,2016,2516,PDS000112534.14,87.37,.,yes
SAMN16783309,"China:Guangdong, Shenzhen",,PDT000952496.1,2015,332,PDS000020484.19,87.37,.,yes
SAMN16783308,"China:Guangdong, Shenzhen",,PDT000952497.1,2015,-,PDS000020484.19,87.37,.,yes
SAMN16783306,"China:Guangdong, Shenzhen",,PDT000952498.1,2015,-,PDS000020484.19,87.37,.,yes
SAMN16783305,"China:Guangdong, Shenzhen",,PDT000952499.1,2015,332,PDS000020484.19,87.37,.,yes
SAMN16783307,"China:Guangdong, Shenzhen",,PDT000952500.1,2015,332,PDS000020484.19,87.37,.,yes
SAMN16783304,"China:Guangdong, Shenzhen",,PDT000952501.1,2015,2516,PDS000112534.14,87.37,.,yes
SAMN16783303,"China:Guangdong, Shenzhen",,PDT000952502.1,2015,332,PDS000020484.19,87.37,.,yes
SAMN16783302,"China:Guangdong, Shenzhen",,PDT000952504.1,2015,-,PDS000020484.19,87.37,.,yes
SAMN16783300,"China:Guangdong, Shenzhen",cooked food,PDT000952505.1,2017,3,PDS000112564.72,87.37,.,yes
SAMN16783296,"China:Guangdong, Shenzhen",,PDT000952509.1,2012,3,PDS000112564.72,87.37,.,yes
SAMN16783294,"China:Guangdong, Shenzhen",stool sample,PDT000952511.1,2016,3,PDS000112564.72,87.37,.,yes
SAMN16783291,"China:Guangdong, Shenzhen",,PDT000952512.1,2016,3,PDS000112564.72,87.37,.,yes
SAMN16783293,"China:Guangdong, Shenzhen",,PDT000952513.1,2016,3,PDS000112564.72,87.37,.,yes
SAMN16783292,"China:Guangdong, Shenzhen",,PDT000952514.1,2011,120,PDS000007529.8,87.37,.,yes
SAMN16783289,"China:Guangdong, Shenzhen",stool sample,PDT000952516.1,2008,3,PDS000112564.72,87.37,.,yes
SAMN16783285,"China:Guangdong, Shenzhen",,PDT000952518.1,2011,3,PDS000112564.72,87.37,.,yes
SAMN16783286,"China:Guangdong, Shenzhen",,PDT000952519.1,2007,3,PDS000112564.72,87.37,.,yes
SAMN16783287,"China:Guangdong, Shenzhen",,PDT000952520.1,2007,3,PDS000112564.72,87.37,.,yes
SAMN16783280,"China:Guangdong, Shenzhen",,PDT000952523.1,2015,-,PDS000020484.19,87.37,.,yes
SAMN16783282,"China:Guangdong, Shenzhen",,PDT000952525.1,2009,3,PDS000115860.2,87.37,.,yes
SAMN16783279,"China:Guangdong, Shenzhen",,PDT000952526.1,2013,3,PDS000112564.72,87.37,.,yes
SAMN16783276,"China:Guangdong, Shenzhen",stool sample,PDT000952527.1,2009,8,PDS000112531.1,87.37,.,yes
SAMN16783278,"China:Guangdong, Shenzhen",,PDT000952528.1,2016,2516,PDS000112534.14,87.37,.,yes
SAMN16783275,"China:Guangdong, Shenzhen",,PDT000952530.1,2012,189,PDS000009659.3,87.37,.,yes
SAMN16783274,"China:Guangdong, Shenzhen",anal swabs,PDT000952531.1,2015,2516,PDS000112534.14,87.37,.,yes
SAMN16783273,"China:Guangdong, Shenzhen",,PDT000952532.1,2015,2516,PDS000112534.14,87.37,.,yes
SAMN16783270,"China:Guangdong, Shenzhen",seafood,PDT000952534.1,2015,3,PDS000112564.72,87.37,.,yes
SAMN16783269,"China:Guangdong, Shenzhen",stool sample,PDT000952536.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783268,"China:Guangdong, Shenzhen",stool sample,PDT000952537.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783265,"China:Guangdong, Shenzhen",seafood,PDT000952539.1,2009,3,PDS000112564.72,87.37,.,yes
SAMN16783261,"China:Guangdong, Shenzhen",stool sample,PDT000952544.1,2015,3,PDS000112564.72,87.37,.,yes
SAMN16783259,"China:Guangdong, Shenzhen",,PDT000952545.1,2015,3,PDS000112564.72,87.37,.,yes
SAMN16783253,"China:Guangdong, Shenzhen",seafood,PDT000952551.1,2008,3,PDS000112564.72,87.37,.,yes
SAMN16783251,"China:Guangdong, Shenzhen",,PDT000952553.1,2013,3,PDS000112567.2,87.37,.,yes
SAMN16783250,"China:Guangdong, Shenzhen",seafood,PDT000952555.1,2008,3,PDS000112564.72,87.37,.,yes
SAMN16783246,"China:Guangdong, Shenzhen",,PDT000952558.1,2016,3,PDS000080608.3,87.37,.,yes
SAMN16783245,"China:Guangdong, Shenzhen",,PDT000952559.1,2017,2516,PDS000112534.14,87.37,.,yes
SAMN16783243,"China:Guangdong, Shenzhen",stool sample,PDT000952560.1,2013,2516,PDS000112534.14,87.37,.,yes
SAMN16783242,"China:Guangdong, Shenzhen",stool sample,PDT000952562.1,2013,189,PDS000046713.6,87.37,.,yes
SAMN16783241,"China:Guangdong, Shenzhen",,PDT000952563.1,2016,2516,PDS000112534.14,87.37,.,yes
SAMN16783240,"China:Guangdong, Shenzhen",,PDT000952564.1,2017,3,PDS000112564.72,87.37,.,yes
SAMN16783238,"China:Guangdong, Shenzhen",,PDT000952565.1,2017,3,PDS000112564.72,87.37,.,yes
SAMN16783239,"China:Guangdong, Shenzhen",,PDT000952566.1,2017,3,PDS000112564.72,87.37,.,yes
SAMN16783237,"China:Guangdong, Shenzhen",stool sample,PDT000952567.1,2012,189,PDS000009659.3,87.37,.,yes
SAMN16783236,"China:Guangdong, Shenzhen",stool sample,PDT000952568.1,2012,189,PDS000046713.6,87.37,.,yes
SAMN16783233,"China:Guangdong, Shenzhen",stool sample,PDT000952570.1,2011,2516,PDS000112534.14,87.37,.,yes
SAMN16783234,"China:Guangdong, Shenzhen",stool sample,PDT000952571.1,2011,2516,PDS000112534.14,87.37,.,yes
SAMN16783230,"China:Guangdong, Shenzhen",,PDT000952574.1,2015,2516,PDS000112534.14,87.37,.,yes
SAMN16783228,"China:Guangdong, Shenzhen",seafood,PDT000952576.1,2010,8,,87.37,.,yes
SAMN16783226,"China:Guangdong, Shenzhen",stool sample,PDT000952578.1,2007,2516,PDS000112534.14,87.37,.,yes
SAMN16783223,"China:Guangdong, Shenzhen",stool sample,PDT000952580.1,2012,189,PDS000046713.6,87.37,.,yes
SAMN16783222,"China:Guangdong, Shenzhen",,PDT000952581.1,2015,3,PDS000112564.72,87.37,.,yes
SAMN16783224,"China:Guangdong, Shenzhen",stool sample,PDT000952582.1,2012,2516,PDS000112534.14,87.37,.,yes
SAMN16783219,"China:Guangdong, Shenzhen",anal swabs,PDT000952584.1,2008,478,,87.37,.,yes
SAMN16783218,"China:Guangdong, Shenzhen",stool sample,PDT000952586.1,2007,527,PDS000112506.1,87.37,.,yes
SAMN16783203,"China:Guangdong, Shenzhen",,PDT000952600.1,2015,3,PDS000112564.72,87.37,.,yes
SAMN16783197,"China:Guangdong, Shenzhen",stool sample,PDT000952604.1,2010,189,PDS000046714.3,87.37,.,yes
SAMN16783198,"China:Guangdong, Shenzhen",stool sample,PDT000952605.1,2010,8,PDS000010237.7,87.37,.,yes
SAMN16783199,"China:Guangdong, Shenzhen",,PDT000952606.1,2016,2516,PDS000112534.14,87.37,.,yes
SAMN16783196,"China:Guangdong, Shenzhen",stool sample,PDT000952607.1,2010,8,PDS000010237.7,87.37,.,yes
SAMN16783195,"China:Guangdong, Shenzhen",stool sample,PDT000952608.1,2010,8,PDS000010237.7,87.37,.,yes
SAMN16783192,"China:Guangdong, Shenzhen",anal swabs,PDT000952609.1,2010,8,PDS000010237.7,87.37,.,yes
SAMN16783193,"China:Guangdong, Shenzhen",stool sample,PDT000952610.1,2010,8,PDS000010237.7,87.37,.,yes
SAMN16783194,"China:Guangdong, Shenzhen",anal swabs,PDT000952611.1,2010,189,PDS000046713.6,87.37,.,yes
SAMN16783191,"China:Guangdong, Shenzhen",anal swabs,PDT000952612.1,2010,8,PDS000010237.7,87.37,.,yes
SAMN16783190,"China:Guangdong, Shenzhen",stool sample,PDT000952613.1,2010,8,PDS000010237.7,87.37,.,yes
SAMN16783187,"China:Guangdong, Shenzhen",stool sample,PDT000952614.1,2009,2516,PDS000112534.14,87.37,.,yes
SAMN16783189,"China:Guangdong, Shenzhen",stool sample,PDT000952615.1,2010,2516,PDS000112534.14,87.37,.,yes
SAMN16783186,"China:Guangdong, Shenzhen",,PDT000952617.1,2015,3,PDS000112564.72,87.37,.,yes
SAMN16783185,"China:Guangdong, Shenzhen",stool sample,PDT000952618.1,2009,2516,PDS000112534.14,87.37,.,yes
SAMN16783183,"China:Guangdong, Shenzhen",stool sample,PDT000952619.1,2008,8,PDS000112531.1,87.37,.,yes
SAMN16783182,"China:Guangdong, Shenzhen",anal swabs,PDT000952620.1,2008,8,PDS000112531.1,87.37,.,yes
SAMN16783184,"China:Guangdong, Shenzhen",stool sample,PDT000952621.1,2009,2516,PDS000112534.14,87.37,.,yes
SAMN16783181,"China:Guangdong, Shenzhen",stool sample,PDT000952622.1,2008,8,PDS000112531.1,87.37,.,yes
SAMN16783180,"China:Guangdong, Shenzhen",seafood,PDT000952624.1,2008,189,PDS000046713.6,87.37,.,yes
SAMN16783177,"China:Guangdong, Shenzhen",anal swabs,PDT000952626.1,2008,8,PDS000112531.1,87.37,.,yes
SAMN16783175,"China:Guangdong, Shenzhen",anal swabs,PDT000952627.1,2007,2516,PDS000112534.14,87.37,.,yes
SAMN16783176,"China:Guangdong, Shenzhen",anal swabs,PDT000952628.1,2008,189,PDS000009659.3,87.37,.,yes
SAMN16783174,"China:Guangdong, Shenzhen",swabs,PDT000952629.1,2007,2516,PDS000112534.14,87.37,.,yes
SAMN16783173,"China:Guangdong, Shenzhen",,PDT000952630.1,2017,3,PDS000112564.72,87.37,.,yes
SAMN16783168,"China:Guangdong, Shenzhen",anal swabs,PDT000952634.1,2007,216,PDS000080531.4,87.37,.,yes
SAMN16783169,"China:Guangdong, Shenzhen",,PDT000952635.1,2012,120,PDS000007529.8,87.37,.,yes
SAMN16783167,"China:Guangdong, Shenzhen",stool sample,PDT000952636.1,2007,120,PDS000007529.8,87.37,.,yes
SAMN16783165,"China:Guangdong, Shenzhen",stool sample,PDT000952637.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783166,"China:Guangdong, Shenzhen",,PDT000952639.1,2013,216,PDS000080531.4,87.37,.,yes
SAMN16783160,"China:Guangdong, Shenzhen",stool sample,PDT000952642.1,2009,120,PDS000007529.8,87.37,.,yes
SAMN16783159,"China:Guangdong, Shenzhen",stool sample,PDT000952644.1,2009,216,PDS000080531.4,87.37,.,yes
SAMN16783154,"China:Guangdong, Shenzhen",stool sample,PDT000952646.1,2009,216,PDS000115799.1,87.37,.,yes
SAMN16783156,"China:Guangdong, Shenzhen",stool sample,PDT000952647.1,2010,120,PDS000007529.8,87.37,.,yes
SAMN16783157,"China:Guangdong, Shenzhen",,PDT000952648.1,2011,216,PDS000080531.4,87.37,.,yes
SAMN16783153,"China:Guangdong, Shenzhen",stool sample,PDT000952650.1,2010,216,PDS000080532.2,87.37,.,yes
SAMN16783152,"China:Guangdong, Shenzhen",stool sample,PDT000952651.1,2009,120,PDS000007529.8,87.37,.,yes
SAMN16783150,"China:Guangdong, Shenzhen",anal swabs,PDT000952652.1,2008,120,PDS000007529.8,87.37,.,yes
SAMN16783151,"China:Guangdong, Shenzhen",stool sample,PDT000952653.1,2009,120,PDS000007529.8,87.37,.,yes
SAMN16783149,"China:Guangdong, Shenzhen",stool sample,PDT000952654.1,2008,216,PDS000112511.2,87.37,.,yes
SAMN16783148,"China:Guangdong, Shenzhen",stool sample,PDT000952655.1,2008,120,PDS000007529.8,87.37,.,yes
SAMN16783142,"China:Guangdong, Shenzhen",stool sample,PDT000952661.1,2009,3,PDS000112564.72,87.37,.,yes
SAMN16783140,"China:Guangdong, Shenzhen",stool sample,PDT000952662.1,2010,527,,87.37,.,yes
SAMN16783139,"China:Guangdong, Shenzhen",stool sample,PDT000952664.1,2008,3,,87.37,.,yes
SAMN16783136,"China:Guangdong, Shenzhen",stool sample,PDT000952665.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783134,"China:Guangdong, Shenzhen",stool sample,PDT000952666.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783135,"China:Guangdong, Shenzhen",stool sample,PDT000952668.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783137,"China:Guangdong, Shenzhen",stool sample,PDT000952669.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783133,"China:Guangdong, Shenzhen",stool sample,PDT000952670.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783130,"China:Guangdong, Shenzhen",anal swabs,PDT000952671.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783132,"China:Guangdong, Shenzhen",stool sample,PDT000952672.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783129,"China:Guangdong, Shenzhen",anal swabs,PDT000952673.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783131,"China:Guangdong, Shenzhen",stool sample,PDT000952674.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783128,"China:Guangdong, Shenzhen",anal swabs,PDT000952675.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783127,"China:Guangdong, Shenzhen",anal swabs,PDT000952676.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783125,"China:Guangdong, Shenzhen",anal swabs,PDT000952678.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783124,"China:Guangdong, Shenzhen",stool sample,PDT000952679.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783123,"China:Guangdong, Shenzhen",stool sample,PDT000952680.1,2009,3,PDS000112564.72,87.37,.,yes
SAMN16783120,"China:Guangdong, Shenzhen",stool sample,PDT000952681.1,2007,3,PDS000112564.72,87.37,.,yes
SAMN16783122,"China:Guangdong, Shenzhen",stool sample,PDT000952682.1,2007,3,PDS000112564.72,87.37,.,yes
SAMN16783121,"China:Guangdong, Shenzhen",stool sample,PDT000952683.1,2009,3,PDS000112564.72,87.37,.,yes
SAMN16783119,"China:Guangdong, Shenzhen",stool sample,PDT000952684.1,2008,3,PDS000112564.72,87.37,.,yes
SAMN16783118,"China:Guangdong, Shenzhen",,PDT000952685.1,2016,3,PDS000112564.72,87.37,.,yes
SAMN16783116,"China:Guangdong, Shenzhen",,PDT000952689.1,2017,3,PDS000112564.72,87.37,.,yes
SAMN16783111,"China:Guangdong, Shenzhen",,PDT000952691.1,2015,3,PDS000115861.1,87.37,.,yes
SAMN16783106,"China:Guangdong, Shenzhen",,PDT000952695.1,2011,2516,PDS000112534.14,87.37,.,yes
SAMN16783107,"China:Guangdong, Shenzhen",,PDT000952696.1,2012,3,PDS000112564.72,87.37,.,yes
SAMN16783105,"China:Guangdong, Shenzhen",,PDT000952697.1,2011,3,PDS000115862.1,87.37,.,yes
SAMN16783103,"China:Guangdong, Shenzhen",stool sample,PDT000952698.1,2007,3,PDS000112564.72,87.37,.,yes
SAMN16783102,"China:Guangdong, Shenzhen",stool sample,PDT000952699.1,2007,3,PDS000112564.72,87.37,.,yes
SAMN16783104,"China:Guangdong, Shenzhen",,PDT000952700.1,2011,3,PDS000112564.72,87.37,.,yes
SAMN16783101,"China:Guangdong, Shenzhen",stool sample,PDT000952701.1,2007,3,PDS000112564.72,87.37,.,yes
SAMN16783100,"China:Guangdong, Shenzhen",stool sample,PDT000952702.1,2007,3,PDS000112564.72,87.37,.,yes
SAMN16783099,"China:Guangdong, Shenzhen",,PDT000952704.1,2016,8,,87.37,.,yes
SAMN16783097,"China:Guangdong, Shenzhen",,PDT000952705.1,2011,3,PDS000112564.72,87.37,.,yes
SAMN16783096,"China:Guangdong, Shenzhen",,PDT000952706.1,2011,3,PDS000112564.72,87.37,.,yes
SAMN16783092,"China:Guangdong, Shenzhen",,PDT000952707.1,2012,332,PDS000080502.5,87.37,.,yes
SAMN16783093,"China:Guangdong, Shenzhen",,PDT000952708.1,2012,332,PDS000080502.5,87.37,.,yes
SAMN16783094,"China:Guangdong, Shenzhen",,PDT000952709.1,2012,332,PDS000080502.5,87.37,.,yes
SAMN16783091,"China:Guangdong, Shenzhen",,PDT000952710.1,2012,332,PDS000080502.5,87.37,.,yes
SAMN16783090,"China:Guangdong, Shenzhen",,PDT000952711.1,2012,3,PDS000112564.72,87.37,.,yes
SAMN16783095,"China:Guangdong, Shenzhen",,PDT000952712.1,2011,332,PDS000080502.5,87.37,.,yes
SAMN16783088,"China:Guangdong, Shenzhen",stool sample,PDT000952713.1,2010,3,PDS000112566.2,87.37,.,yes
SAMN16783087,"China:Guangdong, Shenzhen",stool sample,PDT000952715.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783085,"China:Guangdong, Shenzhen",stool sample,PDT000952716.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783086,"China:Guangdong, Shenzhen",stool sample,PDT000952717.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783084,"China:Guangdong, Shenzhen",stool sample,PDT000952718.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783080,"China:Guangdong, Shenzhen",stool sample,PDT000952719.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783082,"China:Guangdong, Shenzhen",stool sample,PDT000952720.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783083,"China:Guangdong, Shenzhen",stool sample,PDT000952721.1,2012,332,PDS000080502.5,87.37,.,yes
SAMN16783081,"China:Guangdong, Shenzhen",stool sample,PDT000952722.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783079,"China:Guangdong, Shenzhen",stool sample,PDT000952723.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783077,"China:Guangdong, Shenzhen",stool sample,PDT000952724.1,2010,332,,87.37,.,yes
SAMN16783078,"China:Guangdong, Shenzhen",stool sample,PDT000952726.1,2010,3,PDS000112564.72,87.37,.,yes
SAMN16783074,"China:Guangdong, Shenzhen",stool sample,PDT000952727.1,2009,332,PDS000112528.2,87.37,.,yes
SAMN16783072,"China:Guangdong, Shenzhen",stool sample,PDT000952729.1,2009,332,PDS000112528.2,87.37,.,yes
